,Unnamed: 0,cost,distance,dropoff_latitude,dropoff_longitude,passengers,pickup_latitude,pickup_longitude,store_forward,vendor,pickup_weekday,pickup_month,pickup_monthday,pickup_hour,pickup_minute,pickup_second,dropoff_weekday,dropoff_month,dropoff_monthday,dropoff_hour,dropoff_minute,dropoff_second
0,0,4.5,0.83,40.69454574584961,-73.97611236572266,1,40.6938362121582,-73.98726654052734,0,2,6,1,3,21,2,35,6,1,3,21,5,52
1,1,6.0,1.27,40.81214904785156,-73.95975494384766,1,40.80146789550781,-73.94845581054688,0,2,1,1,19,21,49,17,1,1,19,21,54,37
2,2,9.5,1.8,40.67874145507813,-73.98030853271484,1,40.6797981262207,-73.9554443359375,0,2,1,1,5,9,46,18,1,1,5,9,57,28
3,3,4.0,0.5,40.75471496582031,-73.92549896240234,1,40.76081848144531,-73.92293548583984,0,1,4,1,8,17,49,12,4,1,8,17,52,20
4,4,6.0,0.9,40.66966247558594,-73.91104125976562,1,40.664939880371094,-73.92304229736328,0,1,4,1,29,10,28,21,4,1,29,10,34,59
5,5,11.5,2.72,40.77496337890625,-73.89237213134766,1,40.746253967285156,-73.8973159790039,0,2,5,1,30,13,8,46,5,1,30,13,20,20
6,7,25.0,6.83,40.75603103637695,-73.94535064697266,1,40.80010223388672,-73.9500503540039,0,2,4,1,8,16,32,18,4,1,8,17,5,38
7,8,3.5,0.45,40.67219161987305,-74.01203918457031,1,40.67601776123047,-74.0144271850586,0,2,0,1,4,10,6,22,0,1,4,10,8,52
8,9,5.0,0.77,40.66605758666992,-73.97817993164062,1,40.67120361328125,-73.98458099365234,0,2,5,1,9,2,34,5,5,1,9,2,37,43
9,10,11.0,2.2,40.69973754882813,-73.99366760253906,1,40.68327331542969,-73.96582794189453,0,2,3,1,14,1,14,45,3,1,14,1,27,24
10,11,7.5,1.5,40.612159729003906,-73.94902801513672,1,40.6324462890625,-73.94767761230469,0,1,1,1,12,16,14,12,1,1,12,16,21,59
11,12,24.5,6.27,40.745811462402344,-73.98792266845703,1,40.71521377563477,-73.96052551269531,0,2,5,1,9,17,35,52,5,1,9,18,5,29
12,13,9.5,2.0,40.78779602050781,-73.95561218261719,1,40.80733871459961,-73.96453094482422,0,1,3,1,14,20,17,20,3,1,14,20,26,58
13,14,7.5,1.54,40.76130676269531,-73.8807601928711,1,40.750484466552734,-73.88248443603516,0,2,6,1,17,20,38,8,6,1,17,20,46,11
14,15,6.0,1.24,40.72980117797852,-73.9117202758789,1,40.7398796081543,-73.92410278320312,0,2,6,1,10,1,20,28,6,1,10,1,25,3
15,16,5.0,0.75,40.71107864379883,-73.96553039550781,1,40.71691131591797,-73.95661163330078,0,2,5,1,9,16,56,54,5,1,9,17,1,4
16,17,9.0,2.2,40.747501373291016,-73.9442138671875,1,40.773414611816406,-73.92512512207031,0,1,4,1,8,20,56,41,4,1,8,21,5,34
17,18,25.5,7.0,40.752384185791016,-73.97544860839844,2,40.79001235961914,-73.94800567626953,0,1,5,1,2,15,49,53,5,1,2,16,20,21
18,19,17.5,5.1,40.66606140136719,-73.87281036376953,1,40.660118103027344,-73.95987701416016,0,2,4,1,15,4,23,43,4,1,15,4,41,6
19,20,52.0,18.51,40.64547729492188,-73.77632141113281,1,40.78546905517578,-73.94915771484375,0,2,3,1,21,10,18,2,3,1,21,10,46,36
20,21,6.0,1.1,40.74262619018555,-73.9033203125,1,40.74707412719727,-73.88922119140625,0,1,5,1,30,12,45,11,5,1,30,12,51,11
21,22,5.0,0.63,40.74533081054688,-73.88086700439453,2,40.74678421020508,-73.89102935791016,0,2,5,1,23,3,51,20,5,1,23,3,56,36
22,23,14.5,3.28,40.752708435058594,-73.9351806640625,1,40.747703552246094,-73.88433074951172,0,2,6,1,10,20,32,15,6,1,10,20,49,16
23,24,16.0,2.51,40.75114440917969,-73.87213897705078,3,40.74832153320313,-73.87657165527344,0,2,5,1,30,20,27,3,5,1,30,20,50,25
24,25,9.0,2.04,40.71920394897461,-73.84219360351562,1,40.73382186889648,-73.86207580566406,0,2,6,1,3,15,16,58,6,1,3,15,26,27
25,26,13.5,3.42,40.82627868652344,-73.90558624267578,1,40.79081344604492,-73.93920135498047,0,2,2,1,27,21,9,20,2,1,27,21,24,0
26,27,27.0,6.57,40.75715255737305,-73.93574523925781,1,40.68547821044922,-73.9471435546875,0,2,2,1,27,6,31,55,2,1,27,7,6,28
27,28,21.5,7.4,40.65130615234375,-73.97982025146484,1,40.71403503417969,-73.9559097290039,0,1,2,1,20,23,40,11,2,1,20,23,51,46
28,29,13.0,2.78,40.78090286254883,-73.9569320678711,2,40.8086166381836,-73.96597290039062,0,2,3,1,7,10,10,37,3,1,7,10,26,26
29,30,6.5,1.6,40.80547332763672,-73.94995880126953,1,40.7885856628418,-73.95325469970703,0,2,5,1,2,20,49,50,5,1,2,20,54,30
30,31,9.5,1.78,40.67889404296875,-73.98686981201172,1,40.66327667236328,-73.98467254638672,0,2,5,1,9,21,36,48,5,1,9,21,47,44
31,32,6.0,0.97,40.7948112487793,-73.94450378417969,1,40.79841613769531,-73.95282745361328,0,2,4,1,22,18,57,36,4,1,22,19,3,36
32,33,7.0,1.5,40.595401763916016,-73.93515014648438,1,40.5871696472168,-73.95414733886719,0,1,3,1,7,12,7,55,3,1,7,12,15,22
33,34,8.0,1.5,40.80854797363281,-73.95130920410156,1,40.82195663452149,-73.93572998046875,0,1,4,1,1,0,43,15,4,1,1,0,52,15
34,35,8.5,1.29,40.76032257080078,-73.92195892333984,1,40.77446746826172,-73.91263580322266,0,2,5,1,2,23,45,50,5,1,2,23,56,41
35,36,13.5,2.7,40.70232009887695,-73.8763427734375,1,40.73504638671875,-73.87421417236328,0,1,2,1,27,19,44,28,2,1,27,20,1,47
36,37,4.5,0.55,40.756343841552734,-73.92115020751953,1,40.763816833496094,-73.91510009765625,0,2,0,1,25,20,0,5,0,1,25,20,4,15
37,38,7.0,1.32,40.76045608520508,-73.91443634033203,1,40.773921966552734,-73.90750885009766,0,2,4,1,8,20,22,11,4,1,8,20,30,59
38,39,4.0,0.62,40.73464584350586,-73.95500946044922,1,40.730377197265625,-73.95433807373047,0,2,4,1,8,19,51,38,4,1,8,19,55,7
39,40,7.5,1.17,40.720947265625,-73.9571304321289,1,40.7159538269043,-73.95972442626953,0,2,4,1,1,22,21,13,4,1,1,22,31,7
40,41,8.5,2.08,40.69848251342773,-73.94133758544922,3,40.69636154174805,-73.97664642333984,0,2,1,1,12,19,48,41,1,1,12,19,55,5
41,42,11.0,2.7,40.8260612487793,-73.94969940185547,1,40.85089874267578,-73.93203735351562,0,1,4,1,29,11,6,29,4,1,29,11,18,10
42,43,10.0,2.25,40.84292984008789,-73.88619995117188,1,40.86658096313477,-73.89421844482422,0,2,4,1,22,17,32,40,4,1,22,17,46,59
43,44,18.5,5.11,40.71327209472656,-73.8288345336914,1,40.745792388916016,-73.90695190429688,0,2,0,1,4,10,54,22,0,1,4,11,13,6
44,45,5.0,0.78,40.74251937866211,-73.89563751220703,1,40.74700927734375,-73.8900146484375,0,2,3,1,7,16,46,50,3,1,7,16,51,46
45,46,26.0,6.13,40.697532653808594,-73.83353424072266,1,40.74663925170898,-73.89350128173828,0,2,4,1,29,19,19,56,4,1,29,19,56,37
46,47,20.0,5.77,40.84245681762695,-73.89451599121094,3,40.79650115966797,-73.93875885009766,0,2,4,1,1,0,43,18,4,1,1,1,4,3
47,48,4.0,0.67,40.719520568847656,-73.84514617919922,1,40.710838317871094,-73.85063171386719,0,2,4,1,22,9,4,9,4,1,22,9,6,16
48,49,7.5,1.59,40.83454132080078,-73.92536163330078,1,40.82031631469727,-73.93618774414062,0,2,0,1,4,22,45,57,0,1,4,22,53,4
49,50,17.5,4.2,40.71489715576172,-73.95184326171875,2,40.743160247802734,-73.91714477539062,0,1,4,1,22,20,13,12,4,1,22,20,32,56
50,51,12.0,3.2,40.71122360229492,-74.00548553466797,1,40.69356155395508,-73.96611785888672,0,2,2,1,27,3,27,16,2,1,27,3,38,12
51,52,5.0,0.79,40.70559692382813,-73.94295501708984,1,40.71139144897461,-73.94733428955078,0,2,2,1,20,22,26,7,2,1,20,22,30,17
52,53,5.0,0.91,40.73667526245117,-73.95523834228516,1,40.72408676147461,-73.95095825195312,0,2,2,1,13,1,33,27,2,1,13,1,37,1
53,54,8.0,1.28,40.79517364501953,-73.96593475341797,5,40.79656219482422,-73.94917297363281,0,2,1,1,12,10,22,59,1,1,12,10,32,25
54,55,15.5,3.91,40.68461227416992,-73.79993438720703,1,40.72153091430664,-73.84427642822266,0,2,1,1,19,18,17,50,1,1,19,18,37,33
55,56,20.0,6.58,40.753814697265625,-73.83277893066406,1,40.74335479736328,-73.92225646972656,0,2,4,1,29,23,32,57,4,1,29,23,48,29
56,57,6.5,1.5,40.72232437133789,-73.94673919677734,1,40.7430305480957,-73.95148468017578,0,2,6,1,10,22,39,54,6,1,10,22,44,31
57,58,4.5,0.47,40.793548583984375,-73.94942474365234,1,40.79807662963867,-73.95209503173828,0,2,1,1,12,9,32,8,1,1,12,9,36,28
58,59,22.0,6.21,40.678035736083984,-74.00169372558594,1,40.69097137451172,-73.92894744873047,0,2,4,1,1,0,42,24,4,1,1,1,8,8
59,60,13.5,2.9,40.66389846801758,-73.91075134277344,1,40.653587341308594,-73.87206268310547,0,1,1,1,19,20,9,26,1,1,19,20,31,15
60,61,13.0,2.5,40.693115234375,-73.96943664550781,3,40.695472717285156,-73.96930694580078,0,1,2,1,20,14,11,1,2,1,20,14,28,23
61,62,10.0,0.12,40.851318359375,-73.9172592163086,1,40.85008239746094,-73.91903686523438,0,2,2,1,13,23,56,33,2,1,13,23,56,37
62,63,10.5,2.1,40.718910217285156,-73.84168243408203,1,40.74604034423828,-73.8563461303711,0,2,4,1,22,10,25,43,4,1,22,10,37,50
63,64,5.0,0.71,40.71687698364258,-73.94313049316406,5,40.71492385864258,-73.95166778564453,0,2,3,1,14,21,40,29,3,1,14,21,44,33
64,65,4.0,0.7,40.78734588623047,-73.9561538696289,1,40.79612350463867,-73.94973754882812,0,1,1,1,19,20,33,44,1,1,19,20,35,38
65,66,5.5,1.13,40.77295684814453,-73.8966064453125,1,40.77537536621094,-73.91207885742188,0,2,3,1,21,8,58,12,3,1,21,9,2,28
66,67,12.5,2.99,40.77376556396485,-73.98760986328125,1,40.787071228027344,-73.95365142822266,0,2,1,1,19,17,13,28,1,1,19,17,29,11
67,68,4.5,0.8,40.667236328125,-73.98150634765625,1,40.6763801574707,-73.98068237304688,1,1,5,1,2,2,21,45,5,1,2,2,24,12
68,69,10.0,1.98,40.782630920410156,-73.98088073730469,1,40.80796813964844,-73.96411895751953,0,2,2,1,27,19,24,26,2,1,27,19,35,27
69,70,26.0,8.72,40.7095947265625,-73.96366119384766,1,40.78976440429688,-73.9544448852539,0,2,6,1,3,20,25,35,6,1,3,20,46,12
70,71,11.0,2.85,40.66718673706055,-73.79900360107422,1,40.70096969604492,-73.80670166015625,0,2,4,1,22,16,31,31,4,1,22,16,42,7
71,72,16.5,3.8,40.7219123840332,-73.85304260253906,1,40.74531555175781,-73.90458679199219,1,1,6,1,3,1,53,31,6,1,3,2,13,49
72,73,11.5,2.74,40.75398254394531,-73.8869857788086,6,40.76826858520508,-73.92434692382812,0,2,1,1,12,14,18,33,1,1,12,14,30,42
73,74,26.5,7.58,40.76847839355469,-73.98658752441406,1,40.855953216552734,-73.93301391601562,0,2,4,1,22,18,49,23,4,1,22,19,15,0
74,75,15.0,3.44,40.71623611450195,-74.00267028808594,1,40.687767028808594,-73.9801254272461,0,2,4,1,8,9,27,16,4,1,8,9,46,23
75,76,30.5,9.43,40.64177322387695,-73.96357727050781,1,40.72163009643555,-73.95817565917969,0,2,5,1,9,4,48,19,5,1,9,5,13,44
76,77,6.0,1.2,40.74533462524414,-73.921142578125,5,40.74586868286133,-73.9033432006836,0,2,2,1,27,22,39,28,2,1,27,22,44,55
77,78,5.0,0.85,40.67416763305664,-73.9725341796875,1,40.6822624206543,-73.97655487060547,0,2,1,1,26,16,34,7,1,1,26,16,38,4
