,Unnamed: 0,cost,distance,dropoff_latitude,dropoff_longitude,passengers,pickup_latitude,pickup_longitude,store_forward,vendor,pickup_weekday,pickup_month,pickup_monthday,pickup_hour,pickup_minute,pickup_second,dropoff_weekday,dropoff_month,dropoff_monthday,dropoff_hour,dropoff_minute,dropoff_second
78,79,10.0,1.48,40.810638427734375,-73.96231842041016,1,40.7971305847168,-73.94928741455078,0,2,1,1,26,10,36,18,1,1,26,10,49,56
79,80,5.0,0.7,40.58353805541992,-73.95709991455078,1,40.587318420410156,-73.9538803100586,0,1,1,1,12,17,43,41,1,1,12,17,48,54
80,81,8.5,1.56,40.81476211547852,-73.94412994384766,5,40.798736572265625,-73.94174194335938,0,2,5,1,2,13,53,52,5,1,2,14,2,58
81,82,6.5,1.1,40.696136474609375,-73.99620819091797,1,40.69140625,-73.98994445800781,0,2,4,1,29,19,34,40,4,1,29,19,41,42
82,83,10.5,1.77,40.752098083496094,-73.90349578857422,2,40.74659729003906,-73.89142608642578,0,2,0,1,11,22,17,53,0,1,11,22,31,22
83,84,3.0,0.1,40.76585006713867,-73.91929626464844,1,40.76680374145508,-73.92121124267578,0,1,6,1,24,23,49,56,6,1,24,23,51,2
84,85,7.0,1.52,40.692081451416016,-73.94278717041016,5,40.693275451660156,-73.96586608886719,0,2,4,1,8,19,41,54,4,1,8,19,49,0
85,86,17.0,3.58,40.69590377807617,-73.97478485107422,1,40.69343185424805,-73.97615814208984,0,2,3,1,14,7,38,49,3,1,14,8,2,21
86,87,5.0,0.63,40.712486267089844,-73.96235656738281,2,40.71892547607422,-73.96112823486328,0,2,1,1,5,12,59,14,1,1,5,13,3,48
87,88,5.5,0.5,40.83217239379883,-73.9427261352539,2,40.83660507202149,-73.9429702758789,0,1,3,1,28,14,3,49,3,1,28,14,9,43
88,89,17.0,3.64,40.71644973754883,-73.95936584472656,1,40.71474075317383,-73.9432144165039,0,2,6,1,3,2,49,51,6,1,3,3,12,38
89,90,10.0,2.07,40.78304672241211,-73.98027038574219,1,40.80609130859375,-73.96153259277344,0,2,3,1,7,17,47,25,3,1,7,17,58,12
90,91,28.5,9.52,40.70486831665039,-73.94446563720703,1,40.75805282592773,-73.91970825195312,0,2,6,1,10,5,29,22,6,1,10,5,53,41
91,92,16.0,3.84,40.67288589477539,-73.83352661132812,1,40.70585632324219,-73.80976104736328,0,2,4,1,29,12,56,47,4,1,29,13,15,58
92,93,62.5,10.56,40.67996597290039,-73.94194793701172,1,40.57874298095703,-74.00019073486328,0,2,3,1,28,16,7,0,3,1,28,17,44,46
93,94,7.0,0.74,40.68610763549805,-73.9825439453125,1,40.6939582824707,-73.98727416992188,0,2,2,1,27,14,25,54,2,1,27,14,35,14
94,95,5.5,1.11,40.72325134277344,-73.85798645019531,1,40.71962356567383,-73.83930206298828,0,2,1,1,5,9,7,16,1,1,5,9,12,1
95,96,8.0,1.3,40.7498893737793,-73.86295318603516,1,40.76245880126953,-73.87525177001953,0,1,0,1,4,14,45,13,0,1,4,14,54,56
96,97,9.5,1.84,40.8045654296875,-73.95526123046875,1,40.787353515625,-73.94157409667969,0,2,3,1,21,11,21,52,3,1,21,11,33,32
97,98,10.5,2.0,40.80645751953125,-73.965087890625,1,40.79084014892578,-73.95394134521484,0,2,4,1,15,12,0,27,4,1,15,12,12,58
98,99,10.5,2.3,40.72085189819336,-73.90293884277344,1,40.74813461303711,-73.89490509033203,0,1,3,1,14,21,20,28,3,1,14,21,32,4
99,100,9.0,2.17,40.83302307128906,-73.94070434570312,1,40.80450820922852,-73.95557403564453,0,2,5,1,9,22,44,57,5,1,9,22,53,26
100,101,8.0,1.27,40.70154190063477,-73.986572265625,1,40.69420623779297,-73.97002410888672,0,2,0,1,25,8,39,29,0,1,25,8,49,13
101,102,9.0,1.64,40.726646423339844,-73.8954849243164,1,40.74602127075195,-73.90108489990234,0,2,4,1,15,7,23,50,4,1,15,7,33,39
102,103,6.0,0.71,40.81467056274414,-73.94585418701172,1,40.82119369506836,-73.94625854492188,0,2,0,1,25,16,30,47,0,1,25,16,37,40
103,104,7.0,0.9,40.78741455078125,-73.9425277709961,1,40.788482666015625,-73.95340728759766,0,1,4,1,29,14,31,59,4,1,29,14,41,7
104,105,5.5,0.7,40.81073760986328,-73.94322204589844,1,40.80093383789063,-73.9469223022461,0,2,2,1,6,16,52,6,2,1,6,16,56,50
105,106,7.5,1.49,40.85753631591797,-73.88282775878906,1,40.8401985168457,-73.87962341308594,0,2,3,1,28,23,52,50,4,1,29,0,0,24
106,107,10.0,1.64,40.79509353637695,-73.96598052978516,1,40.81061172485352,-73.95276641845703,0,2,6,1,24,11,20,43,6,1,24,11,34,21
107,108,17.0,2.63,40.761962890625,-73.96334075927734,1,40.78990936279297,-73.9522705078125,0,2,1,1,26,19,37,20,1,1,26,20,2,47
108,109,27.0,7.32,40.702674865722656,-73.92926025390625,1,40.71985626220703,-73.83975982666016,0,2,4,1,29,15,26,50,4,1,29,15,58,31
109,110,10.0,2.8,40.80207824707031,-73.96550750732422,1,40.83339309692383,-73.9455337524414,0,1,0,1,18,8,25,51,0,1,18,8,33,24
110,111,6.0,1.0,40.72618865966797,-73.9389419555664,2,40.71902084350586,-73.94513702392578,0,1,4,1,15,18,14,28,4,1,15,18,20,32
111,112,4.0,0.51,40.80399703979492,-73.94810485839844,1,40.798622131347656,-73.94141387939453,0,2,6,1,17,9,0,33,6,1,17,9,2,31
112,113,18.0,4.26,40.68825149536133,-73.93274688720703,1,40.66944885253906,-73.97953033447266,0,2,1,1,19,12,18,58,1,1,19,12,42,36
113,114,4.5,0.54,40.83845520019531,-73.91320037841797,1,40.832481384277344,-73.9193344116211,0,2,3,1,14,17,38,2,3,1,14,17,41,33
114,115,3.0,0.25,40.74734115600586,-73.87454986572266,1,40.74905014038086,-73.87283325195312,0,2,4,1,1,0,11,10,4,1,1,0,13,21
115,116,7.0,1.3,40.66849136352539,-73.9869613647461,1,40.68387222290039,-73.97881317138672,0,2,4,1,15,0,50,15,4,1,15,0,56,41
116,117,11.5,1.87,40.68202590942383,-73.96453857421875,1,40.675453186035156,-73.98859405517578,0,2,4,1,22,12,42,44,4,1,22,12,59,0
117,118,16.0,3.99,40.73214340209961,-73.99588012695312,1,40.68659210205078,-73.9905014038086,0,2,4,1,1,19,14,23,4,1,1,19,32,23
118,119,11.5,2.25,40.677040100097656,-74.01536560058594,5,40.67918014526367,-73.9956283569336,0,2,5,1,2,16,59,32,5,1,2,17,14,2
119,120,5.0,0.76,40.6628532409668,-73.94196319580078,2,40.65568542480469,-73.94686126708984,0,2,1,1,12,17,34,31,1,1,12,17,38,35
120,121,33.0,8.43,40.85220336914063,-73.83924102783203,1,40.80768203735352,-73.92692565917969,0,2,3,1,28,14,48,18,3,1,28,15,28,30
121,122,6.0,0.87,40.81657028198242,-73.92312622070312,1,40.80763626098633,-73.91930389404297,0,2,4,1,8,17,47,10,4,1,8,17,53,9
122,123,18.5,3.45,40.71831893920898,-73.99103546142578,5,40.72777557373047,-73.95890045166016,0,2,5,1,30,12,12,57,5,1,30,12,40,48
123,124,3.5,0.47,40.67434692382813,-73.95365905761719,1,40.67085647583008,-73.95785522460938,0,2,5,1,30,0,43,0,5,1,30,0,45,14
124,125,8.5,2.01,40.7264404296875,-73.8935546875,1,40.7337760925293,-73.86914825439453,0,2,2,1,6,14,7,5,2,1,6,14,13,52
125,126,19.0,5.3,40.78338623046875,-73.98271942138672,1,40.84199142456055,-73.94222259521484,0,2,2,1,13,8,40,48,2,1,13,9,0,42
126,127,19.5,3.2,40.68922424316406,-73.9444351196289,1,40.71719741821289,-73.95845794677734,0,1,4,1,29,14,20,7,4,1,29,14,51,4
127,128,12.0,3.35,40.825931549072266,-73.94100189208984,5,40.79338836669922,-73.9404296875,0,2,5,1,2,2,37,32,5,1,2,2,48,42
128,129,28.5,9.65,40.71333312988281,-73.99060821533203,1,40.81442642211914,-73.9444580078125,0,2,6,1,10,1,1,28,6,1,10,1,19,40
129,130,13.5,2.87,40.8046760559082,-73.9415054321289,1,40.79636764526367,-73.93830108642578,0,2,0,1,11,14,41,58,0,1,11,15,0,23
130,131,3.0,0.29,40.81575012207031,-73.93682861328125,1,40.81467819213867,-73.94036102294922,0,2,0,1,25,19,48,48,0,1,25,19,50,19
131,132,18.0,4.36,40.7619743347168,-73.9221420288086,1,40.72228622436523,-73.95752716064453,0,2,6,1,17,4,44,3,6,1,17,5,4,44
132,133,7.0,0.9,40.75749969482422,-73.88288116455078,1,40.74760055541992,-73.8834228515625,0,1,0,1,18,3,26,21,0,1,18,3,34,7
133,134,27.0,8.3,40.7518424987793,-73.98052215576172,1,40.8407096862793,-73.94022369384766,0,1,2,1,6,17,34,45,2,1,6,18,2,21
134,135,4.5,0.53,40.808555603027344,-73.95965576171875,1,40.80480575561523,-73.96602630615234,0,2,2,1,20,0,29,43,2,1,20,0,32,49
135,136,5.5,1.04,40.702125549316406,-73.84022521972656,1,40.71358871459961,-73.83036804199219,0,2,5,1,23,0,23,44,5,1,23,0,28,2
136,137,5.0,0.78,40.81573486328125,-73.93871307373047,1,40.80586624145508,-73.9405288696289,0,2,5,1,2,18,44,56,5,1,2,18,49,2
137,138,6.0,0.94,40.75669479370117,-73.944580078125,1,40.755165100097656,-73.93094635009766,0,2,3,1,28,23,14,0,3,1,28,23,20,7
138,139,17.5,5.01,40.79055404663086,-73.9655532836914,1,40.840599060058594,-73.9403305053711,0,2,4,1,22,23,46,7,5,1,23,0,1,4
139,140,9.0,1.89,40.8127555847168,-73.90312194824219,1,40.82059097290039,-73.9366455078125,0,2,4,1,22,21,57,32,4,1,22,22,6,48
140,141,31.5,4.44,40.76104736328125,-73.83248138427734,1,40.746429443359375,-73.89085388183594,0,2,0,1,25,14,51,20,0,1,25,15,46,3
141,142,9.0,1.83,40.68519592285156,-73.92320251464844,1,40.699462890625,-73.94149017333984,0,2,4,1,15,9,18,27,5,1,16,8,40,35
142,143,7.5,1.69,40.80209732055664,-73.95336151123047,1,40.825103759765625,-73.94775390625,0,2,6,1,10,18,11,9,6,1,10,18,17,55
143,144,20.0,6.15,40.72557830810547,-73.86329650878906,1,40.71932601928711,-73.95821380615234,0,2,5,1,9,22,39,18,5,1,9,22,56,6
144,145,8.5,1.98,40.69057083129883,-73.95832824707031,1,40.66559219360352,-73.9540023803711,0,2,5,1,16,23,58,34,6,1,17,0,6,44
145,146,10.5,2.16,40.8256721496582,-73.95269775390625,1,40.80259323120117,-73.95501708984375,0,2,4,1,15,17,36,24,4,1,15,17,49,20
146,147,27.0,6.67,40.76501083374024,-73.96125793457031,1,40.73052597045898,-73.86172485351562,0,2,1,1,12,14,50,2,1,1,12,15,24,29
147,148,26.5,8.4,40.65576171875,-74.0086441040039,1,40.679954528808594,-73.94078063964844,0,1,6,1,3,14,15,31,6,1,3,14,37,53
148,149,15.5,3.8,40.74937057495117,-73.97476959228516,1,40.720191955566406,-73.95976257324219,0,1,1,1,26,14,59,5,1,1,26,15,16,33
149,150,6.0,1.18,40.7902946472168,-73.9458999633789,1,40.80338668823242,-73.94879913330078,0,2,2,1,13,12,20,42,2,1,13,12,26,59
150,151,5.0,0.65,40.70729064941406,-73.83638763427734,1,40.71354293823242,-73.83032989501953,0,2,4,1,29,20,41,45,4,1,29,20,46,50
151,152,6.5,0.85,40.759033203125,-73.88695526123047,1,40.74761581420898,-73.88542938232422,0,2,3,1,21,18,26,39,3,1,21,18,34,32
152,153,24.0,7.79,40.77418899536133,-73.87345123291016,3,40.7467041015625,-73.94393920898438,0,2,4,1,29,12,19,12,4,1,29,12,37,24
153,154,16.0,4.01,40.777198791503906,-73.90074920654297,2,40.749168395996094,-73.86941528320312,0,2,5,1,23,2,30,47,5,1,23,2,52,25
154,155,15.0,3.37,40.70053482055664,-73.919189453125,2,40.718841552734375,-73.95452880859375,0,2,5,1,16,18,2,30,5,1,16,18,22,28
155,156,5.0,0.65,40.68000411987305,-73.94308471679688,1,40.681068420410156,-73.95547485351562,0,2,4,1,15,23,22,6,4,1,15,23,25,56
156,157,6.5,0.79,40.7598762512207,-73.91830444335938,1,40.76833724975586,-73.92448425292969,0,2,0,1,25,16,1,9,0,1,25,16,8,58
157,158,9.5,1.84,40.80929183959961,-73.94891357421875,1,40.82887268066406,-73.94859313964844,0,2,3,1,7,13,38,19,3,1,7,13,48,34
158,159,10.0,2.68,40.77152633666992,-73.9566879272461,1,40.8050651550293,-73.93907165527344,0,2,5,1,30,0,7,24,5,1,30,0,16,43
159,160,20.5,5.94,40.72578430175781,-73.98403930664062,1,40.75879669189453,-73.91870880126953,0,2,5,1,2,18,55,2,5,1,2,19,20,2
160,161,6.5,0.85,40.71383285522461,-73.96178436279297,1,40.71709442138672,-73.95004272460938,0,2,5,1,2,21,50,8,5,1,2,21,57,36
161,162,12.0,2.85,40.80099868774414,-73.93718719482422,1,40.81903076171875,-73.91654968261719,0,2,5,1,9,6,51,4,5,1,9,7,3,23
162,163,6.0,1.03,40.80495071411133,-73.93914031982422,1,40.80585861206055,-73.9544448852539,0,2,6,1,17,10,23,33,6,1,17,10,29,49
163,164,5.5,0.7,40.85299682617188,-73.93266296386719,1,40.84468460083008,-73.93885803222656,0,1,0,1,25,10,1,4,0,1,25,10,6,47
164,165,6.0,1.0,40.681678771972656,-73.98979949951172,1,40.69038772583008,-73.99439239501953,0,1,3,1,21,19,39,54,3,1,21,19,46,2
165,166,6.5,1.1,40.80686569213867,-73.94122314453125,1,40.80596923828125,-73.95428466796875,0,1,1,1,5,21,40,29,1,1,5,21,47,13
166,167,7.5,1.53,40.71526336669922,-73.96022033691406,1,40.73357772827149,-73.95491027832031,0,2,5,1,9,10,39,7,5,1,9,10,46,14
167,168,22.0,6.8,40.77011489868164,-73.98048400878906,1,40.85100555419922,-73.93853759765625,0,1,6,1,24,12,49,56,6,1,24,13,9,14
168,169,5.5,0.9,40.704978942871094,-73.80122375488281,1,40.70045471191406,-73.80777740478516,0,1,2,1,13,20,35,0,2,1,13,20,39,59
169,170,4.5,0.47,40.82022476196289,-73.95539855957031,1,40.8260498046875,-73.95092010498047,0,2,2,1,13,17,33,40,2,1,13,17,37,33
170,171,20.0,0.12,40.71482849121094,-73.95674896240234,1,40.71610641479492,-73.95541381835938,0,2,4,1,1,3,36,43,4,1,1,3,36,48
171,172,12.0,2.9,40.69734191894531,-73.93603515625,1,40.6775016784668,-73.9591293334961,0,1,4,1,1,0,36,39,4,1,1,0,50,32
172,173,8.0,2.41,40.83837890625,-73.91685485839844,1,40.82335662841797,-73.91629791259766,0,2,6,1,10,22,44,29,6,1,10,22,55,53
173,174,26.5,7.97,40.6877555847168,-73.95014190673828,1,40.75307083129883,-73.91173553466797,0,2,5,1,9,22,21,40,5,1,9,22,45,16
174,175,31.0,9.9,40.75252914428711,-73.97840881347656,2,40.86526489257813,-73.93091583251953,0,1,1,1,5,14,48,58,1,1,5,15,14,47
175,176,7.0,1.2,40.73931121826172,-73.88948059082031,2,40.73432159423828,-73.8690185546875,0,1,2,1,6,19,48,43,2,1,6,19,55,55
176,177,4.5,0.6,40.814430236816406,-73.94041442871094,1,40.81041717529297,-73.94691467285156,0,1,1,1,5,8,4,7,1,1,5,8,7,53
177,178,6.5,0.75,40.7177963256836,-73.83406829833984,1,40.71950912475586,-73.84518432617188,0,2,1,1,5,18,11,36,1,1,5,18,19,52
178,179,13.5,2.79,40.74496841430664,-73.93512725830078,6,40.74766159057617,-73.8836669921875,0,2,0,1,11,12,29,5,0,1,11,12,46,38
179,180,6.5,1.47,40.67681121826172,-73.94889831542969,1,40.68599319458008,-73.9332504272461,0,2,2,1,13,23,40,34,2,1,13,23,46,26
