,VendorID,passenger_count,trip_distance,pickup_longitude,pickup_latitude,rate_code,dropoff_longitude,dropoff_latitude,payment_type,total_amount,hour,year,month,day,day_of_week,pickup_latitude_r,pickup_longitude_r,dropoff_latitude_r,dropoff_longitude_r,h_distance,is_weekend
0,2,1,1.59,-73.9939,40.75011,1,-73.974785,40.750618,1,17.05,19,2015,1,15,3,40.75,-74.0,40.75,-73.979996,1.6108215,0
1,1,1,3.3,-74.00165,40.724243,1,-73.994415,40.75911,1,17.8,20,2015,1,10,5,40.719997,-74.01,40.75,-74.0,3.924754,0
2,1,1,1.8,-73.96334,40.802788,1,-73.95182,40.824413,2,10.8,20,2015,1,10,5,40.8,-73.97,40.82,-73.96,2.5926893,0
5,1,1,9.0,-73.874374,40.774048,1,-73.98698,40.758194,1,40.33,20,2015,1,10,5,40.77,-73.88,40.75,-73.99,9.645483,0
6,1,1,2.2,-73.98328,40.72601,1,-73.99247,40.749634,2,15.3,20,2015,1,10,5,40.719997,-73.99,40.739998,-74.0,2.7384953,0
